0; 450_950_0.7_0.1_220;1561,592;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_220;1640,3601;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_220;1574,3646;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_220;1720,6199;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_220;1764,5354;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_220;1456,7375;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_220;1568,2384;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_220;1494,1638;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_220;1544,3915;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_220;1578,0391;;1456,7375;1764,5354;1590,30423;89,86161317;;;;;;;;;
0; 450_950_0.7_0.1_225;1598,1648;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_225;1561,6757;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_225;1689,5911;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_225;1475,8436;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_225;1658,8638;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_225;1748,4078;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_225;1735,7626;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_225;1617,4504;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_225;1526,7515;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_225;1552,521;;1475,8436;1748,4078;1616,50323;86,0437976;;;;;;;;;
0; 450_950_0.7_0.1_229;1535,992;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_229;1452,4048;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_229;1653,8363;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_229;1588,4711;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_229;1515,497;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_229;1571,1318;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_229;1643,6842;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_229;1483,941;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_229;1601,0114;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_229;1553,8793;;1452,4048;1653,8363;1559,98489;61,95224957;;;;;;;;;
0; 450_950_0.7_0.1_234;1512,8162;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_234;1507,4622;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_234;1492,8569;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_234;1756,7081;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_234;1663,8092;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_234;1603,8005;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_234;1525,3452;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_234;1681,502;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_234;1622,6919;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_234;1666,862;;1492,8569;1756,7081;1603,38542;85,65870858;;;;;;;;;
0; 450_950_0.7_0.1_238;1658,0217;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_238;1653,2242;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_238;1600,1232;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_238;1599,3828;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_238;1582,135;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_238;1544,89;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_238;1508,8613;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_238;1611,1863;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_238;1635,69;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_238;1654,9563;;1508,8613;1658,0217;1604,84708;46,9536204;;;;;;;;;
0; 450_950_0.7_0.1_243;1676,313;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_243;1594,9725;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_243;1675,5547;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_243;1623,2322;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_243;1665,5287;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_243;1517,1437;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_243;1717,5494;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_243;1542,792;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_243;1512,3651;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_243;1622,3528;;1512,3651;1717,5494;1614,78041;68,07489213;;;;;;;;;
0; 450_950_0.7_0.1_247;1652,1714;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_247;1595,9528;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_247;1542,67;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_247;1632,73;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_247;1608,4885;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_247;1700,5162;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_247;1685,1166;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_247;1540,4417;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_247;1672,0834;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_247;1511,8809;;1511,8809;1700,5162;1614,20515;62,45553128;;;;;;;;;
0; 450_950_0.7_0.1_252;1549,7;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_252;1668,1372;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_252;1572,6914;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_252;1672,7946;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_252;1557,8494;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_252;1647,7456;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_252;1648,7012;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_252;1618,6102;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_252;1532,3867;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_252;1637,6458;;1532,3867;1672,7946;1610,62621;49,85142373;;;;;;;;;
0; 450_950_0.7_0.1_256;1521,3982;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_256;1579,874;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_256;1618,1372;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_256;1609,9808;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_256;1645,1367;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_256;1714,9407;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_256;1539,6357;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_256;1697,6637;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_256;1547,9987;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_256;1705,9135;;1521,3982;1714,9407;1618,06792;67,89691731;;;;;;;;;
0; 450_950_0.7_0.1_261;1599,7635;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_261;1591,958;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_261;1544,1184;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_261;1524,5874;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_261;1637,1829;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_261;1552,046;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_261;1565,5347;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_261;1617,9937;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_261;1511,1658;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_261;1649,3403;;1511,1658;1649,3403;1579,36907;44,8753329;;;;;;;;;
0; 450_950_0.7_0.1_265;1656,0443;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_265;1659,0209;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_265;1548,6454;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_265;1713,0376;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_265;1632,406;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_265;1480,2273;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_265;1516,3663;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_265;1548,188;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_265;1642,3936;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_265;1578,5178;;1480,2273;1713,0376;1597,48472;70,22064346;;;;;;;;;
0; 450_950_0.7_0.1_270;1734,2172;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_270;1604,0355;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_270;1641,9586;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_270;1703,8059;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_270;1547,938;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_270;1623,7842;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_270;1557,5565;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_270;1593,3779;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_270;1549,3651;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_270;1653,2667;;1547,938;1734,2172;1620,93056;60,58756056;;;;;;;;;
0; 450_950_0.7_0.1_274;1621,8646;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_274;1647,2461;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_274;1585,9617;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_274;1701,5216;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_274;1594,6448;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_274;1689,9927;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_274;1727,0723;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_274;1616,0051;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_274;1549,1674;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_274;1649,0703;;1549,1674;1727,0723;1638,25466;53,01180826;;;;;;;;;
0; 450_950_0.7_0.1_279;1541,3473;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_279;1581,75;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_279;1629,176;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_279;1655,9225;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_279;1606,9867;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_279;1630,7516;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_279;1751,7046;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_279;1581,5802;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_279;1427,2627;;Best;Worst;Average;Std;;;;;;;;;
