6; 100_100_0.7_0.12000002_5;1006,2483;;;;;;884,56964;1071,9832;973,080878;;
7; 100_100_0.7_0.12000002_5;952,38696;;;;;;900,2587;1074,2222;1004,14751;;
8; 100_100_0.7_0.12000002_5;982,3387;;Best;Worst;Average;;962,48364;1062,2837;1010,489377;;
9; 100_100_0.7_0.12000002_5;1091,9596;;928,7009;1091,9596;1017,955766;;907,4122;1060,8699;1005,146236;;
0; 100_100_0.7_0.12500001_5;961,9968;;;;;;;;;;
1; 100_100_0.7_0.12500001_5;1009,3403;;;;;;;;;;
2; 100_100_0.7_0.12500001_5;1044,9204;;;;;;;;;;
3; 100_100_0.7_0.12500001_5;1127,0708;;;;;;;;;;
4; 100_100_0.7_0.12500001_5;1053,5012;;;;;;;;;;
5; 100_100_0.7_0.12500001_5;1097,3278;;;;;;;;;;
6; 100_100_0.7_0.12500001_5;985,80664;;;;;;;;;;
7; 100_100_0.7_0.12500001_5;1043,5251;;;;;;;;;;
8; 100_100_0.7_0.12500001_5;877,2004;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.12500001_5;1033,5334;;877,2004;1127,0708;1023,422284;;;;;;
0; 100_100_0.7_0.13000001_5;1003,13367;;;;;;;;;;
1; 100_100_0.7_0.13000001_5;1098,516;;;;;;;;;;
2; 100_100_0.7_0.13000001_5;1029,1118;;;;;;;;;;
3; 100_100_0.7_0.13000001_5;932,1436;;;;;;;;;;
4; 100_100_0.7_0.13000001_5;1001,098;;;;;;;;;;
5; 100_100_0.7_0.13000001_5;1029,787;;;;;;;;;;
6; 100_100_0.7_0.13000001_5;953,3809;;;;;;;;;;
7; 100_100_0.7_0.13000001_5;903,78326;;;;;;;;;;
8; 100_100_0.7_0.13000001_5;1007,48047;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.13000001_5;894,9033;;894,9033;1098,516;985,3338;;;;;;
0; 100_100_0.7_0.135_5;983,7009;;;;;;;;;;
1; 100_100_0.7_0.135_5;959,6443;;;;;;;;;;
2; 100_100_0.7_0.135_5;989,13324;;;;;;;;;;
3; 100_100_0.7_0.135_5;921,58496;;;;;;;;;;
4; 100_100_0.7_0.135_5;973,5451;;;;;;;;;;
5; 100_100_0.7_0.135_5;1027,9536;;;;;;;;;;
6; 100_100_0.7_0.135_5;968,13306;;;;;;;;;;
7; 100_100_0.7_0.135_5;995,60095;;;;;;;;;;
8; 100_100_0.7_0.135_5;985,49786;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.135_5;957,8478;;921,58496;1027,9536;976,264177;;;;;;
0; 100_100_0.7_0.14_5;1071,9832;;;;;;;;;;
1; 100_100_0.7_0.14_5;1030,0126;;;;;;;;;;
2; 100_100_0.7_0.14_5;947,8606;;;;;;;;;;
3; 100_100_0.7_0.14_5;952,0838;;;;;;;;;;
4; 100_100_0.7_0.14_5;957,883;;;;;;;;;;
5; 100_100_0.7_0.14_5;970,5505;;;;;;;;;;
6; 100_100_0.7_0.14_5;884,56964;;;;;;;;;;
7; 100_100_0.7_0.14_5;995,5185;;;;;;;;;;
8; 100_100_0.7_0.14_5;942,25494;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.14_5;978,092;;884,56964;1071,9832;973,080878;;;;;;
0; 100_100_0.7_0.145_5;1015,4807;;;;;;;;;;
1; 100_100_0.7_0.145_5;990,8376;;;;;;;;;;
2; 100_100_0.7_0.145_5;1074,2222;;;;;;;;;;
3; 100_100_0.7_0.145_5;1000,4594;;;;;;;;;;
4; 100_100_0.7_0.145_5;1040,365;;;;;;;;;;
5; 100_100_0.7_0.145_5;900,2587;;;;;;;;;;
6; 100_100_0.7_0.145_5;1038,0637;;;;;;;;;;
7; 100_100_0.7_0.145_5;956,1271;;;;;;;;;;
8; 100_100_0.7_0.145_5;1023,7281;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.145_5;1001,9326;;900,2587;1074,2222;1004,14751;;;;;;
0; 100_100_0.7_0.14999999_5;982,79376;;;;;;;;;;
1; 100_100_0.7_0.14999999_5;979,9262;;;;;;;;;;
2; 100_100_0.7_0.14999999_5;1024,1268;;;;;;;;;;
3; 100_100_0.7_0.14999999_5;1056,3511;;;;;;;;;;
4; 100_100_0.7_0.14999999_5;962,48364;;;;;;;;;;
5; 100_100_0.7_0.14999999_5;980,66376;;;;;;;;;;
6; 100_100_0.7_0.14999999_5;1023,50635;;;;;;;;;;
7; 100_100_0.7_0.14999999_5;1062,2837;;;;;;;;;;
8; 100_100_0.7_0.14999999_5;1004,75446;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.14999999_5;1028,004;;962,48364;1062,2837;1010,489377;;;;;;
0; 100_100_0.7_0.15499999_5;1009,70996;;;;;;;;;;
1; 100_100_0.7_0.15499999_5;1029,4116;;;;;;;;;;
2; 100_100_0.7_0.15499999_5;1024,3474;;;;;;;;;;
3; 100_100_0.7_0.15499999_5;1060,8699;;;;;;;;;;
4; 100_100_0.7_0.15499999_5;907,4122;;;;;;;;;;
5; 100_100_0.7_0.15499999_5;1019,3449;;;;;;;;;;
6; 100_100_0.7_0.15499999_5;984,5258;;;;;;;;;;
7; 100_100_0.7_0.15499999_5;971,6067;;;;;;;;;;
