0; 1000_10_100;1027,8195;;;;;;;;;;;;;;
6; 1000_27_100;1031,9456;;;;;;;; 1000_178_100;1002,5845;;997,63763;1044,8733;1007,869965;12,69009374
7; 1000_27_100;1086,7245;;;;;;;; 1000_179_100;1035,5354;;1002,40405;1037,9036;1024,819795;13,1901897
8; 1000_27_100;1109,677;;Best;Worst;Avg;Std;;; 1000_180_100;1032,6791;;979,9979;1041,8387;1015,833931;16,92999857
9; 1000_27_100;1013,6371;;1003,1141;1109,677;1044,59526;34,05044128;;; 1000_181_100;1037,4309;;1004,10706;1054,0939;1023,673904;17,51165368
0; 1000_28_100;1003,1141;;;;;;;; 1000_182_100;1007,3536;;982,71075;1059,5703;1019,571833;24,94789639
1; 1000_28_100;1036,1571;;;;;;;; 1000_183_100;1040,4736;;981,8738;1059,0863;1020,680992;23,41919004
2; 1000_28_100;1008,06354;;;;;;;; 1000_184_100;1002,40405;;1002,40405;1042,9073;1022,110435;14,05446138
3; 1000_28_100;1048,0636;;;;;;;; 1000_185_100;994,0131;;994,0131;1047,0354;1016,132927;16,58228171
4; 1000_28_100;1019,06323;;;;;;;; 1000_186_100;1002,40405;;1002,40405;1103,4333;1025,213119;31,26179925
5; 1000_28_100;1054,0939;;;;;;;; 1000_187_100;1065,4673;;997,63763;1083,8486;1021,742876;27,98300764
6; 1000_28_100;1035,422;;;;;;;; 1000_188_100;1047,0354;;982,71075;1047,9517;1015,797492;21,01867484
7; 1000_28_100;997,63763;;;;;;;; 1000_189_100;1003,1141;;997,63763;1054,0939;1023,900326;23,3272655
8; 1000_28_100;1007,3509;;Best;Worst;Avg;Std;;; 1000_190_100;1003,1141;;1002,40405;1024,3215;1006,69552;6,203503827
9; 1000_28_100;1062,0808;;997,63763;1062,0808;1027,10468;21,91676101;;; 1000_191_100;1008,06354;;997,63763;1039,7161;1012,738706;14,52303615
0; 1000_29_100;1008,06354;;;;;;;; 1000_192_100;1008,0609;;982,71075;1044,8733;1015,666442;19,7972269
1; 1000_29_100;1047,0609;;;;;;;; 1000_193_100;1003,1141;;1002,40405;1041,0046;1012,70104;12,47001027
2; 1000_29_100;1066,5803;;;;;;;; 1000_194_100;1008,0609;;997,05334;1058,8604;1026,563038;21,56320044
3; 1000_29_100;1045,6978;;;;;;;; 1000_195_100;997,63763;;997,63763;1046,0425;1021,114575;19,26107946
4; 1000_29_100;1002,40405;;;;;;;; 1000_196_100;1007,3536;;1001,275;1067,5573;1024,129204;22,51379089
5; 1000_29_100;1040,8162;;;;;;;; 1000_197_100;1003,1141;;1003,1141;1042,1973;1025,49414;14,4854028
6; 1000_29_100;1040,8162;;;;;;;; 1000_198_100;1008,06354;;997,63763;1047,0782;1008,08379;13,5946728
7; 1000_29_100;997,63763;;;;;;;; 1000_199_100;1003,1141;;997,63763;1042,1973;1010,096333;13,5497652
8; 1000_29_100;1043,1842;;Best;Worst;Avg;Std;;; 1000_200_100;1044,7418;;1002,5871;1051,5334;1025,346844;17,83791661
9; 1000_29_100;983,99023;;983,99023;1066,5803;1027,625105;25,75651854;;; 1000_201_100;1003,1141;;997,63763;1057,9083;1015,037267;18,40470039
0; 1000_30_100;1104,4547;;;;;;;; 1000_202_100;1003,1141;;989,78046;1035,6807;1015,84199;13,71369167
1; 1000_30_100;1028,5415;;;;;;;; 1000_203_100;1002,5845;;994,08954;1044,8733;1009,749327;16,69268065
2; 1000_30_100;1037,4308;;;;;;;; 1000_204_100;1003,1141;;997,63763;1036,0143;1012,895417;14,04377002
3; 1000_30_100;1009,8826;;;;;;;; 1000_205_100;1028,6852;;997,63763;1052,5555;1015,052489;18,77987929
4; 1000_30_100;1022,7619;;;;;;;; 1000_206_100;984,7562;;984,7562;1047,0354;1012,436774;19,12927432
5; 1000_30_100;1007,17236;;;;;;;; 1000_207_100;1003,1141;;997,63763;1044,8733;1017,318986;18,72839365
6; 1000_30_100;1034,6089;;;;;;;; 1000_208_100;1042,1973;;997,63763;1064,338;1021,877054;21,19462928
7; 1000_30_100;1006,0167;;;;;;;; 1000_209_100;1005,16864;;997,63763;1057,9083;1013,842572;18,32072181
8; 1000_30_100;1079,6705;;Best;Worst;Avg;Std;;; 1000_210_100;1002,40405;;997,63763;1040,8162;1013,346129;13,59834604
