1; 450_950_0.66999984_0.1_90;1010,1419;;;;;;;;;;;;;;
2; 450_950_0.66999984_0.1_90;909,47626;;;;;;;;;;;;;;
3; 450_950_0.66999984_0.1_90;861,19824;;;;;;;;;;;;;;
4; 450_950_0.66999984_0.1_90;975,8108;;;;;;;;;;;;;;
5; 450_950_0.66999984_0.1_90;958,95447;;;;;;;;;;;;;;
6; 450_950_0.66999984_0.1_90;852,91736;;;;;;;;;;;;;;
7; 450_950_0.66999984_0.1_90;925,10706;;;;;;;;;;;;;;
8; 450_950_0.66999984_0.1_90;895,71;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.66999984_0.1_90;952,8234;;852,91736;1010,1419;924,289523;47,65095818;;;;;;;;;
0; 450_950_0.6799998_0.1_90;963,7888;;;;;;;;;;;;;;
1; 450_950_0.6799998_0.1_90;854,81177;;;;;;;;;;;;;;
2; 450_950_0.6799998_0.1_90;1007,2311;;;;;;;;;;;;;;
3; 450_950_0.6799998_0.1_90;915,55096;;;;;;;;;;;;;;
4; 450_950_0.6799998_0.1_90;1069,7573;;;;;;;;;;;;;;
5; 450_950_0.6799998_0.1_90;914,5998;;;;;;;;;;;;;;
6; 450_950_0.6799998_0.1_90;850,3246;;;;;;;;;;;;;;
7; 450_950_0.6799998_0.1_90;886,4846;;;;;;;;;;;;;;
8; 450_950_0.6799998_0.1_90;991,9801;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.6799998_0.1_90;912,1272;;850,3246;1069,7573;936,665623;66,85511457;;;;;;;;;
0; 450_950_0.6899998_0.1_90;997,2202;;;;;;;;;;;;;;
1; 450_950_0.6899998_0.1_90;1042,2825;;;;;;;;;;;;;;
2; 450_950_0.6899998_0.1_90;931,97736;;;;;;;;;;;;;;
3; 450_950_0.6899998_0.1_90;979,93414;;;;;;;;;;;;;;
4; 450_950_0.6899998_0.1_90;934,34906;;;;;;;;;;;;;;
5; 450_950_0.6899998_0.1_90;934,27936;;;;;;;;;;;;;;
6; 450_950_0.6899998_0.1_90;998,688;;;;;;;;;;;;;;
