;Current Best;Average;Worst;Global Best
508;816,67694;879,31134;1250,8451;816,67694
509;816,67694;885,7111;1453,3489;816,67694
510;816,67694;888,2485;1319,6412;816,67694
511;816,67694;875,06586;1255,0627;816,67694
512;816,67694;888,90533;1301,796;816,67694
513;816,67694;883,99146;1317,7394;816,67694
514;816,67694;882,7653;1283,5323;816,67694
515;816,67694;896,9785;1305,4076;816,67694
516;816,67694;883,96716;1257,1802;816,67694
517;816,67694;880,93225;1314,5698;816,67694
518;816,67694;878,70807;1354,5624;816,67694
519;816,67694;877,98846;1185,5197;816,67694
520;816,67694;882,33417;1372,003;816,67694
521;816,67694;880,61786;1232,2593;816,67694
522;816,67694;885,6176;1296,9747;816,67694
523;816,67694;882,84454;1371,4742;816,67694
524;816,67694;889,1611;1360,5375;816,67694
525;816,67694;881,2164;1409,3796;816,67694
526;816,67694;890,49023;1338,3278;816,67694
527;816,67694;879,7413;1259,3229;816,67694
528;816,67694;889,4875;1325,1124;816,67694
529;816,67694;877,3894;1289,5094;816,67694
530;816,67694;891,6322;1428,3544;816,67694
531;816,67694;876,93787;1368,2664;816,67694
532;816,67694;870,40466;1350,2732;816,67694
533;816,67694;874,51465;1211,4701;816,67694
534;816,67694;874,85443;1247,4585;816,67694
535;816,67694;883,984;1281,9502;816,67694
536;816,67694;877,40314;1372,6692;816,67694
537;816,67694;881,4149;1404,3488;816,67694
538;816,67694;878,0039;1289,8191;816,67694
539;816,67694;893,5902;1351,5356;816,67694
540;816,67694;869,14215;1302,0348;816,67694
541;816,67694;885,367;1349,4174;816,67694
542;816,67694;882,30206;1211,3065;816,67694
543;816,67694;868,7153;1217,8396;816,67694
544;816,67694;878,69855;1393,4982;816,67694
545;816,67694;871,3181;1305,3956;816,67694
546;816,67694;883,02893;1328,8374;816,67694
547;816,67694;881,2302;1219,9849;816,67694
548;816,67694;885,0848;1233,0037;816,67694
549;816,67694;869,58075;1301,2612;816,67694
550;816,67694;880,3121;1208,4708;816,67694
551;816,67694;876,011;1356,9503;816,67694
552;816,67694;885,433;1250,176;816,67694
553;816,67694;873,92065;1275,2953;816,67694
554;816,67694;871,7741;1204,3278;816,67694
555;816,67694;888,4841;1339,7493;816,67694
556;816,67694;877,8375;1209,3911;816,67694
557;816,67694;887,3794;1366,8092;816,67694
558;816,67694;886,7576;1295,3949;816,67694
559;816,67694;887,8071;1239,3551;816,67694
560;816,67694;877,3438;1332,7845;816,67694
561;816,67694;870,5221;1219,9849;816,67694
562;816,67694;876,71155;1277,3057;816,67694
