0; 800_450_0.7_0.1_136;853,6805;;;;;;;;;;;;
1; 800_450_0.7_0.1_136;845,8072;;;;;;;;;;;;
2; 800_450_0.7_0.1_136;868,8535;;;;;;;;;;;;
3; 800_450_0.7_0.1_136;899,88806;;;;;;;;;;;;
4; 800_450_0.7_0.1_136;857,7121;;;;;;;;;;;;
5; 800_450_0.7_0.1_136;875,5224;;;;;;;;;;;;
6; 800_450_0.7_0.1_136;816,5903;;;;;;;;;;;;
7; 800_450_0.7_0.1_136;876,26825;;;;;;;;;;;;
8; 800_450_0.7_0.1_136;1000,1357;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_136;936,15625;;816,5903;1000,1357;883,061426;;;;;;;;
0; 800_450_0.7_0.1_144;823,2015;;;;;;;;;;;;
1; 800_450_0.7_0.1_144;849,4992;;;;;;;;;;;;
2; 800_450_0.7_0.1_144;959,1658;;;;;;;;;;;;
3; 800_450_0.7_0.1_144;891,9886;;;;;;;;;;;;
4; 800_450_0.7_0.1_144;869,8143;;;;;;;;;;;;
5; 800_450_0.7_0.1_144;816,2514;;;;;;;;;;;;
6; 800_450_0.7_0.1_144;972,0946;;;;;;;;;;;;
7; 800_450_0.7_0.1_144;948,5181;;;;;;;;;;;;
8; 800_450_0.7_0.1_144;841,4305;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_144;826,5402;;816,2514;972,0946;879,85042;;;;;;;;
0; 800_450_0.7_0.1_152;870,7672;;;;;;;;;;;;
1; 800_450_0.7_0.1_152;890,107;;;;;;;;;;;;
2; 800_450_0.7_0.1_152;890,17883;;;;;;;;;;;;
3; 800_450_0.7_0.1_152;912,4256;;;;;;;;;;;;
4; 800_450_0.7_0.1_152;808,63904;;;;;;;;;;;;
5; 800_450_0.7_0.1_152;867,8481;;;;;;;;;;;;
6; 800_450_0.7_0.1_152;851,9101;;;;;;;;;;;;
7; 800_450_0.7_0.1_152;859,7481;;;;;;;;;;;;
8; 800_450_0.7_0.1_152;877,7683;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_152;870,78107;;808,63904;912,4256;870,017334;;;;;;;;
0; 800_450_0.7_0.1_160;843,8753;;;;;;;;;;;;
1; 800_450_0.7_0.1_160;884,9195;;;;;;;;;;;;
2; 800_450_0.7_0.1_160;939,5747;;;;;;;;;;;;
3; 800_450_0.7_0.1_160;899,53485;;;;;;;;;;;;
4; 800_450_0.7_0.1_160;817,8747;;;;;;;;;;;;
5; 800_450_0.7_0.1_160;883,1648;;;;;;;;;;;;
6; 800_450_0.7_0.1_160;812,9033;;;;;;;;;;;;
7; 800_450_0.7_0.1_160;872,4515;;;;;;;;;;;;
8; 800_450_0.7_0.1_160;840,0465;;Best;Worst;Average;;;;;;;;
9; 800_450_0.7_0.1_160;882,29065;;812,9033;939,5747;867,66358;;;;;;;;
0; 800_450_0.7_0.1_168;850,663;;;;;;;;;;;;
1; 800_450_0.7_0.1_168;915,78107;;;;;;;;;;;;
