2311,4553;;;;;
2208,1057;;;;;
2322,2578;;;;;
2146,8184;;;;;
2218,4707;;;;;
2347,3826;;;;;
2065,9294;;;;;
2301,8276;;;;;
2228,6284;;;;;
2040,697;;;;;
2102,7585;;;;;
2260,4458;;;;;
2262,4858;;;;;
2184,9219;;;;;
2352,9082;;;;;
2305,2642;;;;;
2153,5474;;;;;
2129,9473;;;;;
1859,4066;;;;;
2034,7471;;;;;
2150,9724;;;;;
2136,0886;;;;;
2194,8223;;;;;
2253,2834;;;;;
1980,3065;;;;;
1842,5225;;;;;
2100,6216;;;;;
2175,7053;;;;;
2378,0527;;;;;
2166,543;;;;;
2251,8826;;;;;
2188,7847;;;;;
2376,7725;;;;;
1863,4874;;;;;
2183,1543;;;;;
2124,9006;;;;;
2301,7332;;;;;
2090,667;;;;;
2431,705;;;;;
2284,5647;;;;;
2399,2625;;;;;
2019,407;;;;;
2229,5784;;;;;
2231,1165;;;;;
2498,988;;;;;
2024,3011;;;;;
2116,9165;;;;;
1976,9053;;;;;
2103,7747;;;;;
1935,9495;;;;;
2162,458;;;;;
2321,345;;;;;
2074,8376;;;;;
2037,8597;;;;;
2337,4639;;;;;
2042,1431;;;;;
2377,5662;;;;;
2290,036;;;;;
2381,789;;;;;
2097,212;;;;;
2120,5427;;;;;
2166,041;;;;;
2007,7412;;;;;
2198,9084;;;;;
2134,3113;;;;;
2358,7754;;;;;
2270,1128;;;;;
2088,5637;;;;;
2223,033;;;;;
1950,4199;;;;;
1939,9048;;;;;
2186,9644;;;;;
2237,6367;;;;;
2336,8564;;;;;
2177,9053;;;;;
2203,3972;;;;;
2105,9365;;;;;
2198,8918;;;;;
2191,6682;;;;;
1957,9193;;;;;
2139,9595;;;;;
2112,4265;;;;;
1985,4548;;;;;
2184,383;;;;;
2332,803;;;;;
2240,856;;;;;
2276,0007;;;;;
2016,1105;;;;;
2217,6729;;;;;
2347,253;;;;;
2170,2808;;;;;
2148,7034;;;;;
2043,1785;;;;;
2132,934;;;;;
2096,7544;;;;;
2049,075;;;;;
2320,6985;;;;;
2218,4214;;;;;
2023,3805;;;;;
2189,6455;;;;;
2234,9404;;;;;
2251,2834;;;;;
2284,1838;;;;;
2020,8655;;;;;
2023,0428;;;;;
2397,9678;;;;;
2254,8828;;;;;
2045,5862;;;;;
2150,9893;;;;;
2326,8523;;;;;
2119,091;;;;;
2311,1409;;;;;
2260,8945;;;;;
2179,09;;;;;
2113,867;;;;;
2321,4321;;;;;
2238,6802;;;;;
2040,3052;;;;;
2184,8809;;;;;
1995,2833;;;;;
1980,9442;;;;;
2173,2747;;;;;
2081,2676;;;;;
2031,6455;;;;;
2287,9788;;;;;
2142,4004;;;;;
2189,468;;;;;
2276,4883;;;;;
2201,0894;;;;;
2194,068;;;;;
2431,766;;;;;
2154,434;;;;;
2103,8367;;;;;
1829,2247;;;;;
2215,5225;;;;;
2120,0564;;;;;
2191,71;;;;;
2203,808;;;;;
2270,5525;;;;;
2127,9404;;;;;
2282,4663;;;;;
2252,8884;;;;;
2257,747;;;;;
2142,342;;;;;
2154,532;;;;;
2200,7747;;;;;
1843,635;;;;;
2242,0872;;;;;
2046,7031;;;;;
2036,3652;;;;;
2253,6655;;;;;
2047,6128;;;;;
2101,148;;;;;
2313,0881;;;;;
2198,4111;;;;;
2009,8079;;;;;
2374,0422;;;;;
2167,1604;;;;;
2004,0878;;;;;
2297,5068;;;;;
2257,7705;;;;;
2164,3481;;;;;
2016,396;;;;;
2283,19;;;;;
2283,1746;;;;;
2459,978;;;;;
2082,0098;;;;;
2389,8098;;;;;
2145,6814;;;;;
2003,4918;;;;;
2206,7683;;;;;
2324,2837;;;;;
1822,4084;;;;;
2007,9526;;;;;
2282,4116;;;;;
2018,0198;;;;;
2350,9014;;;;;
2132,7178;;;;;
2040,7756;;;;;
2156,1182;;;;;
2196,9333;;;;;
2166,1243;;;;;
2152,2747;;;;;
2267,473;;;;;
1924,519;;;;;
2411,5432;;;;;
2130,7803;;;;;
2261,9626;;;;;
2250,8464;;;;;
2260,2268;;;;;
2094,6782;;;;;
2234,6235;;;;;
2091,8892;;;;;
2294,0942;;;;;
2104,5703;;;;;
2135,6108;;;;;
2148,8706;;;;;
2019,27;;;;;
2195,5334;;;;;
2222,4907;;;;;
2255,6228;;;;;
2253,2375;;;;;
2249,4675;;;;;
2300,4653;;;;;
2136,1663;;;;;
2298,0237;;;;;
2046,8597;;;;;
2084,8635;;;;;
2350,0447;;;;;
2412,1152;;;;;
2260,71;;;;;
2021,3887;;;;;
2090,4648;;;;;
2127,9182;;;;;
2226,595;;;;;
2111,5989;;;;;
1946,9656;;;;;
2164,0974;;;;;
1940,3202;;;;;
1992,4116;;;;;
2244,8733;;;;;
2062,631;;;;;
2390,8467;;;;;
2142,9275;;;;;
2228,253;;;;;
2151,0068;;;;;
1858,5359;;;;;
2241,6807;;;;;
2002,7656;;;;;
2316,3694;;;;;
2249,1184;;;;;
2135,412;;;;;
2013,4951;;;;;
2290,7822;;;;;
2054,3071;;;;;
2087,3772;;;;;
2364,68;;;;;
2237,5757;;;;;
2208,4702;;;;;
2165,3218;;;;;
2074,0105;;;;;
2091,037;;;;;
2108,6648;;;;;
1909,7035;;;;;
2077,4849;;;;;
2203,905;;;;;
2440,5776;;;;;
1998,9647;;;;;
2122,4712;;;;;
2351,6584;;;;;
2125,43;;;;;
2101,0867;;;;;
2219,513;;;;;
2201,5283;;;;;
2359,1323;;;;;
2079,6687;;;;;
2181,6633;;;;;
2109,3374;;;;;
2149,0872;;;;;
2198,3677;;;;;
2120,6733;;;;;
2058,2468;;;;;
2165,6777;;;;;
2270,7017;;;;;
2303,3342;;;;;
2070,8645;;;;;
2255,5237;;;;;
1957,1072;;;;;
2230,3838;;;;;
2175,5579;;;;;
2398,6465;;;;;
2116,3296;;;;;
2099,9958;;;;;
2241,066;;;;;
2067,0955;;;;;
2274,642;;;;;
2322,9268;;;;;
2331,38;;;;;
2246,234;;;;;
1920,2328;;;;;
1985,1277;;;;;
2333,5122;;;;;
2303,5383;;;;;
1914,415;;;;;
2118,919;;;;;
2344,466;;;;;
2247,8252;;;;;
1921,021;;;;;
2162,1033;;;;;
2180,577;;;;;
2104,095;;;;;
2169,8987;;;;;
2244,5012;;;;;
2300,2334;;;;;
2224,937;;;;;
2144,014;;;;;
2207,6587;;;;;
2079,5244;;;;;
2446,726;;;;;
2273,1885;;;;;
2180,5527;;;;;
2280,7273;;;;;
2352,981;;;;;
2270,555;;;;;
2261,6025;;;;;
2265,9446;;;;;
2185,112;;;;;
2266,712;;;;;
2352,1;;;;;
2164,705;;;;;
2375,2295;;;;;
2186,6997;;;;;
2274,1597;;;;;
2198,269;;;;;
2263,9126;;;;;
2078,477;;;;;
2233,9163;;;;;
2380,3545;;;;;
2421,0952;;;;;
2331,788;;;;;
2400,1313;;;;;
2081,7368;;;;;
2081,8447;;;;;
2283,5117;;;;;
2047,3418;;;;;
2196,4463;;;;;
2349,354;;;;;
2389,3047;;;;;
2209,6692;;;;;
2260,8796;;;;;
2009,4221;;;;;
2303,058;;;;;
2136,4395;;;;;
2123,1543;;;;;
2465,8691;;;;;
2238,2898;;;;;
2010,9257;;;;;
1839,4966;;;;;
2159,7087;;;;;
1903,5925;;;;;
2001,3837;;;;;
2288,379;;;;;
2261,1228;;;;;
1985,6074;;;;;
2201,0193;;;;;
2054,6377;;;;;
1926,5802;;;;;
2157,4465;;;;;
2116,0774;;;;;
2108,2964;;;;;
2105,229;;;;;
2019,8021;;;;;
2113,2913;;;;;
2219,915;;;;;
2397,648;;;;;
2174,69;;;;;
2274,2307;;;;;
2239,1301;;;;;
2232,386;;;;;
2148,2932;;;;;
1937,9691;;;;;
2305,2693;;;;;
2061,0098;;;;;
2140,8462;;;;;
2152,5151;;;;;
2037,7046;;;;;
2051,62;;;;;
2210,3662;;;;;
2170,5288;;;;;
2297,8953;;;;;
2007,7397;;;;;
2303,4941;;;;;
2413,1697;;;;;
2247,7197;;;;;
2215,9553;;;;;
2340,314;;;;;
2241,6309;;;;;
2321,0713;;;;;
2217,5437;;;;;
2114,5798;;;;;
2085,0183;;;;;
2226,706;;;;;
2251,7686;;;;;
2108,808;;;;;
2154,902;;;;;
2176,583;;;;;
2100,489;;;;;
2151,4778;;;;;
2219,5322;;;;;
2220,8315;;;;;
2398,3083;;;;;
2056,1482;;;;;
2104,5369;;;;;
1972,701;;;;;
2066,3682;;;;;
2219,9536;;;;;
2022,6465;;;;;
2263,189;;;;;
1863,5835;;;;;
2356,4507;;;;;
2075,2415;;;;;
2190,6382;;;;;
2299,561;;;;;
2324,182;;;;;
2133,0378;;;;;
2289,3315;;;;;
1969,6162;;;;;
2439,0857;;;;;
2309,5908;;;;;
2146,2698;;;;;
2121,5796;;;;;
2006,6628;;;;;
2234,2307;;;;;
2341,9792;;;;;
2515,4023;;;;;
2025,667;;;;;
2124,744;;;;;
2272,8262;;;;;
2336,395;;;;;
2200,417;;;;;
2144,5012;;;;;
2165,0657;;;;;
2357,8413;;;;;
2147,721;;;;;
1932,5282;;;;;
2220,8298;;;;;
2131,1414;;;;;
2426,8564;;;;;
2364,1675;;;;;
2160,4749;;;;;
2094,2668;;;;;
2312,8904;;;;;
2182,9453;;;;;
2352,208;;;;;
2108,732;;;;;
2319,6387;;;;;
2122,0352;;;;;
2240,3796;;;;;
1953,1477;;;;;
2082,399;;;;;
2216,5635;;;;;
2191,2559;;;;;
2270,4937;;;;;
2217,817;;;;;
2248,5928;;;;;
2356,5955;;;;;
2404,2222;;;;;
2030,5139;;;;;
2126,6484;;;;;
1952,8549;;;;;
2164,8225;;;;;
2115,0757;;;;;
2198,4219;;;;;
2184,406;;;;;
2182,6665;;;;;
2363,8523;;;;;
2029,9329;;;;;
2027,3925;;;;;
1972,4282;;;;;
2341,669;;;;;
2304,6672;;;;;
2370,1123;;;;;
2141,4353;;;;;
2231,4543;;;;;
2208,9429;;;;;
1981,301;;;;;
2213,645;;;;;
2132,3835;;;;;
2371,7466;;;;;
1845,0063;;;;;
2085,5552;;;;;
1986,1055;;;;;
2063,4512;;;;;
2165,3286;;;;;
2034,6055;;;;;
2354,6897;;;;;
2295,3333;;;;;
1992,1036;;;;;
2214,9543;;;;;
1993,6465;;;;;
2360,2817;;;;;
2099,5989;;;;;
2034,168;;;;;
2379,8706;;;;;
2146,861;;;;;
2273,797;;;;;
1985,781;;;;;
1841,6055;;;;;
1982,1345;;;;;
2256,005;;;;;
2326,6802;;;;;
2114,665;;;;;
2034,1182;;;;;
2083,1558;;;;;
2121,59;;;;;
2179,0415;;;;;
1977,0865;;;;;
2255,6655;;;;;
2095,4958;;;;;
2073,8418;;;;;
2101,118;;;;;
2284,9807;;;;;
2161,9324;;;;;
2489,2827;;;;;
2087,6082;;;;;
2366,2786;;;;;
2233,4363;;;;;
2202,619;;;;;
2118,5369;;;;;
2168,948;;;;;
2295,1602;;;;;
2228,5874;;;;;
2191,322;;;;;
2275,5984;;;;;
2197,413;;;;;
2490,791;;;;;
2065,667;;;;;
2038,3696;;;;;
2094,6423;;;;;
2151,1208;;;;;
1876,2546;;;;;
2043,0101;;;;;
2164,1465;;;;;
2328,065;;;;;
2133,5613;;;;;
2192,8562;;;;;
2178,5698;;;;;
2148,3445;;;;;
2307,2495;;;;;
2054,684;;;;;
2079,981;;;;;
2352,4124;;;;;
2087,9907;;;;;
2431,152;;;;;
2329,2368;;;;;
2099,8748;;;;;
2196,947;;;;;
2201,4312;;;;;
2133,2239;;;;;
2324,7324;;;;;
2184,1995;;;;;
2070,279;;;;;
2292,1462;;;;;
2232,1797;;;;;
2176,6033;;;;;
2391,9512;;;;;
2094,7974;;;;;
2317,4446;;;;;
2060,5222;;;;;
2118,395;;;;;
2018,283;;;;;
2238,0112;;;;;
2126,7578;;;;;
2285,5332;;;;;
2019,9717;;;;;
2310,8135;;;;;
2108,0747;;;;;
2260,3333;;;;;
2115,0857;;;;;
1935,0908;;;;;
2390,6387;;;;;
1850,8391;;;;;
2217,1794;;;;;
2359,8135;;;;;
1920,0208;;;;;
