6; 10000_54_35;1195,8788;;;;;;;;;;;;;;
7; 10000_54_35;1243,1743;;;;;;;;;;;;;;
8; 10000_54_35;1181,6183;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_35;1234,52;;1181,6183;1243,1743;1209,59866;20,91815402;;;;;;;;;
0; 10000_54_36;1233,2474;;;;;;;;;;;;;;
1; 10000_54_36;1197,2968;;;;;;;;;;;;;;
2; 10000_54_36;1224,0911;;;;;;;;;;;;;;
3; 10000_54_36;1188,4688;;;;;;;;;;;;;;
4; 10000_54_36;1230,944;;;;;;;;;;;;;;
5; 10000_54_36;1208,8608;;;;;;;;;;;;;;
6; 10000_54_36;1211,6742;;;;;;;;;;;;;;
7; 10000_54_36;1203,0641;;;;;;;;;;;;;;
8; 10000_54_36;1187,2338;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_36;1187,8992;;1187,2338;1233,2474;1207,27802;16,69573781;;;;;;;;;
0; 10000_54_37;1198,6393;;;;;;;;;;;;;;
1; 10000_54_37;1212,8024;;;;;;;;;;;;;;
2; 10000_54_37;1199,61;;;;;;;;;;;;;;
3; 10000_54_37;1207,9111;;;;;;;;;;;;;;
4; 10000_54_37;1208,7148;;;;;;;;;;;;;;
5; 10000_54_37;1210,5216;;;;;;;;;;;;;;
6; 10000_54_37;1195,3184;;;;;;;;;;;;;;
7; 10000_54_37;1203,2574;;;;;;;;;;;;;;
8; 10000_54_37;1191,7585;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_37;1196,6449;;1191,7585;1212,8024;1202,51784;6,807747263;;;;;;;;;
0; 10000_54_38;1228,7203;;;;;;;;;;;;;;
1; 10000_54_38;1190,0038;;;;;;;;;;;;;;
2; 10000_54_38;1201,5962;;;;;;;;;;;;;;
3; 10000_54_38;1185,5222;;;;;;;;;;;;;;
4; 10000_54_38;1176,9725;;;;;;;;;;;;;;
5; 10000_54_38;1203,8768;;;;;;;;;;;;;;
6; 10000_54_38;1227,1887;;;;;;;;;;;;;;
7; 10000_54_38;1210,092;;;;;;;;;;;;;;
8; 10000_54_38;1207,1943;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_38;1190,6072;;1176,9725;1228,7203;1202,1774;16,17366791;;;;;;;;;
0; 10000_54_39;1177,7238;;;;;;;;;;;;;;
1; 10000_54_39;1198,9526;;;;;;;;;;;;;;
2; 10000_54_39;1206,5594;;;;;;;;;;;;;;
3; 10000_54_39;1208,8822;;;;;;;;;;;;;;
4; 10000_54_39;1229,3735;;;;;;;;;;;;;;
5; 10000_54_39;1198,8208;;;;;;;;;;;;;;
6; 10000_54_39;1218,9119;;;;;;;;;;;;;;
7; 10000_54_39;1203,3845;;;;;;;;;;;;;;
8; 10000_54_39;1183,9496;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_39;1178,6638;;1177,7238;1229,3735;1200,52221;16,00835686;;;;;;;;;
0; 10000_54_40;1194,6831;;;;;;;;;;;;;;
1; 10000_54_40;1216,2981;;;;;;;;;;;;;;
2; 10000_54_40;1194,8951;;;;;;;;;;;;;;
3; 10000_54_40;1194,814;;;;;;;;;;;;;;
4; 10000_54_40;1184,0674;;;;;;;;;;;;;;
