5; 100_100_0.7_0.1_15;1054,2917;;;;;;;;;;
6; 100_100_0.7_0.1_15;999,5723;;;;;;;;;;
7; 100_100_0.7_0.1_15;1064,4358;;;;;;;;;;
8; 100_100_0.7_0.1_15;1095,471;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_15;1032,9572;;872,93024;1095,471;998,533014;;;;;;
0; 100_100_0.7_0.1_16;1100,6088;;;;;;;;;;
1; 100_100_0.7_0.1_16;972,7091;;;;;;;;;;
2; 100_100_0.7_0.1_16;1082,0916;;;;;;;;;;
3; 100_100_0.7_0.1_16;1027,5312;;;;;;;;;;
4; 100_100_0.7_0.1_16;1018,47174;;;;;;;;;;
5; 100_100_0.7_0.1_16;906,1112;;;;;;;;;;
6; 100_100_0.7_0.1_16;999,2743;;;;;;;;;;
7; 100_100_0.7_0.1_16;990,98096;;;;;;;;;;
8; 100_100_0.7_0.1_16;1085,1859;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_16;1042,0991;;906,1112;1100,6088;1022,50639;;;;;;
0; 100_100_0.7_0.1_17;969,82904;;;;;;;;;;
1; 100_100_0.7_0.1_17;963,5415;;;;;;;;;;
2; 100_100_0.7_0.1_17;983,8668;;;;;;;;;;
3; 100_100_0.7_0.1_17;1035,6245;;;;;;;;;;
4; 100_100_0.7_0.1_17;1078,8615;;;;;;;;;;
5; 100_100_0.7_0.1_17;1027,0884;;;;;;;;;;
6; 100_100_0.7_0.1_17;986,931;;;;;;;;;;
7; 100_100_0.7_0.1_17;1074,2863;;;;;;;;;;
8; 100_100_0.7_0.1_17;1138,9753;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_17;964,6388;;963,5415;1138,9753;1022,364314;;;;;;
0; 100_100_0.7_0.1_18;1013,25964;;;;;;;;;;
1; 100_100_0.7_0.1_18;991,6261;;;;;;;;;;
2; 100_100_0.7_0.1_18;1169,2871;;;;;;;;;;
3; 100_100_0.7_0.1_18;888,0822;;;;;;;;;;
4; 100_100_0.7_0.1_18;903,7445;;;;;;;;;;
5; 100_100_0.7_0.1_18;1071,4784;;;;;;;;;;
6; 100_100_0.7_0.1_18;903,0591;;;;;;;;;;
7; 100_100_0.7_0.1_18;977,89166;;;;;;;;;;
8; 100_100_0.7_0.1_18;957,43066;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_18;1013,5479;;888,0822;1169,2871;988,940726;;;;;;
0; 100_100_0.7_0.1_19;1118,308;;;;;;;;;;
1; 100_100_0.7_0.1_19;887,17633;;;;;;;;;;
2; 100_100_0.7_0.1_19;987,5065;;;;;;;;;;
3; 100_100_0.7_0.1_19;1059,0281;;;;;;;;;;
4; 100_100_0.7_0.1_19;931,1126;;;;;;;;;;
5; 100_100_0.7_0.1_19;966,9793;;;;;;;;;;
6; 100_100_0.7_0.1_19;1004,8711;;;;;;;;;;
7; 100_100_0.7_0.1_19;1091,318;;;;;;;;;;
8; 100_100_0.7_0.1_19;951,60754;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_19;973,99835;;887,17633;1118,308;997,190582;;;;;;
0; 100_100_0.7_0.1_20;1019,3103;;;;;;;;;;
1; 100_100_0.7_0.1_20;978,79663;;;;;;;;;;
2; 100_100_0.7_0.1_20;1082,1003;;;;;;;;;;
3; 100_100_0.7_0.1_20;1012,392;;;;;;;;;;
4; 100_100_0.7_0.1_20;980,73975;;;;;;;;;;
5; 100_100_0.7_0.1_20;975,5798;;;;;;;;;;
6; 100_100_0.7_0.1_20;971,38226;;;;;;;;;;
7; 100_100_0.7_0.1_20;1067,9901;;;;;;;;;;
8; 100_100_0.7_0.1_20;1098,108;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_20;944,9089;;944,9089;1098,108;1013,130804;;;;;;
0; 100_100_0.7_0.1_21;1111,862;;;;;;;;;;
1; 100_100_0.7_0.1_21;984,9491;;;;;;;;;;
2; 100_100_0.7_0.1_21;996,6627;;;;;;;;;;
3; 100_100_0.7_0.1_21;982,4827;;;;;;;;;;
4; 100_100_0.7_0.1_21;1034,1627;;;;;;;;;;
5; 100_100_0.7_0.1_21;1088,0507;;;;;;;;;;
6; 100_100_0.7_0.1_21;1001,8043;;;;;;;;;;
7; 100_100_0.7_0.1_21;943,2266;;;;;;;;;;
8; 100_100_0.7_0.1_21;908,1902;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_21;1057,1117;;908,1902;1111,862;1010,85027;;;;;;
0; 100_100_0.7_0.1_22;982,91675;;;;;;;;;;
1; 100_100_0.7_0.1_22;961,95544;;;;;;;;;;
2; 100_100_0.7_0.1_22;1076,7155;;;;;;;;;;
3; 100_100_0.7_0.1_22;978,59424;;;;;;;;;;
4; 100_100_0.7_0.1_22;1007,4007;;;;;;;;;;
5; 100_100_0.7_0.1_22;1122,5149;;;;;;;;;;
6; 100_100_0.7_0.1_22;1115,9977;;;;;;;;;;
7; 100_100_0.7_0.1_22;1048,0847;;;;;;;;;;
8; 100_100_0.7_0.1_22;953,2988;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_22;972,86237;;953,2988;1122,5149;1022,03411;;;;;;
0; 100_100_0.7_0.1_23;955,0809;;;;;;;;;;
1; 100_100_0.7_0.1_23;1109,982;;;;;;;;;;
2; 100_100_0.7_0.1_23;1143,0996;;;;;;;;;;
3; 100_100_0.7_0.1_23;825,0284;;;;;;;;;;
4; 100_100_0.7_0.1_23;965,8523;;;;;;;;;;
5; 100_100_0.7_0.1_23;1080,839;;;;;;;;;;
6; 100_100_0.7_0.1_23;878,0681;;;;;;;;;;
7; 100_100_0.7_0.1_23;1002,98987;;;;;;;;;;
8; 100_100_0.7_0.1_23;919,55505;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_23;1158,4094;;825,0284;1158,4094;1003,890462;;;;;;
0; 100_100_0.7_0.1_24;988,78156;;;;;;;;;;
1; 100_100_0.7_0.1_24;966,1252;;;;;;;;;;
2; 100_100_0.7_0.1_24;946,0219;;;;;;;;;;
3; 100_100_0.7_0.1_24;918,2382;;;;;;;;;;
4; 100_100_0.7_0.1_24;999,2509;;;;;;;;;;
5; 100_100_0.7_0.1_24;949,79614;;;;;;;;;;
6; 100_100_0.7_0.1_24;1034,376;;;;;;;;;;
7; 100_100_0.7_0.1_24;1049,8201;;;;;;;;;;
8; 100_100_0.7_0.1_24;857,42346;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_24;1005,6311;;857,42346;1049,8201;971,546456;;;;;;
0; 100_100_0.7_0.1_25;1173,2839;;;;;;;;;;
1; 100_100_0.7_0.1_25;1012,1946;;;;;;;;;;
2; 100_100_0.7_0.1_25;1041,9733;;;;;;;;;;
3; 100_100_0.7_0.1_25;909,77936;;;;;;;;;;
4; 100_100_0.7_0.1_25;986,234;;;;;;;;;;
5; 100_100_0.7_0.1_25;1057,5531;;;;;;;;;;
6; 100_100_0.7_0.1_25;1124,6271;;;;;;;;;;
7; 100_100_0.7_0.1_25;1083,5354;;;;;;;;;;
8; 100_100_0.7_0.1_25;937,78284;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_25;925,14655;;909,77936;1173,2839;1025,211015;;;;;;
0; 100_100_0.7_0.1_26;1005,34174;;;;;;;;;;
1; 100_100_0.7_0.1_26;963,30396;;;;;;;;;;
2; 100_100_0.7_0.1_26;1022,878;;;;;;;;;;
3; 100_100_0.7_0.1_26;999,3546;;;;;;;;;;
4; 100_100_0.7_0.1_26;1137,966;;;;;;;;;;
5; 100_100_0.7_0.1_26;1038,4135;;;;;;;;;;
6; 100_100_0.7_0.1_26;1152,3325;;;;;;;;;;
7; 100_100_0.7_0.1_26;1102,4552;;;;;;;;;;
8; 100_100_0.7_0.1_26;970,78625;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_26;1016,25903;;963,30396;1152,3325;1040,909078;;;;;;
0; 100_100_0.7_0.1_27;1014,6534;;;;;;;;;;
1; 100_100_0.7_0.1_27;962,39954;;;;;;;;;;
2; 100_100_0.7_0.1_27;943,5235;;;;;;;;;;
3; 100_100_0.7_0.1_27;941,3183;;;;;;;;;;
4; 100_100_0.7_0.1_27;1073,6597;;;;;;;;;;
5; 100_100_0.7_0.1_27;931,36456;;;;;;;;;;
6; 100_100_0.7_0.1_27;1063,628;;;;;;;;;;
7; 100_100_0.7_0.1_27;1107,1505;;;;;;;;;;
8; 100_100_0.7_0.1_27;1044,595;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.1_27;958,68384;;931,36456;1107,1505;1004,097634;;;;;;
0; 100_100_0.7_0.1_28;979,65546;;;;;;;;;;
1; 100_100_0.7_0.1_28;882,45416;;;;;;;;;;
2; 100_100_0.7_0.1_28;1088,8939;;;;;;;;;;
3; 100_100_0.7_0.1_28;1036,6216;;;;;;;;;;
4; 100_100_0.7_0.1_28;1084,149;;;;;;;;;;
5; 100_100_0.7_0.1_28;1006,5324;;;;;;;;;;
6; 100_100_0.7_0.1_28;1095,9612;;;;;;;;;;
