;Global best - Swap;Global best - inversion
549;925,442;933,2984
550;925,442;933,2984
551;925,442;933,2984
552;925,442;933,2984
553;925,442;933,2984
554;925,442;933,2984
555;925,442;933,2984
556;925,442;933,2984
557;925,442;933,2984
558;925,442;933,2984
559;925,442;933,2984
560;925,442;933,2984
561;925,442;933,2984
562;925,442;933,2984
563;925,442;933,2984
564;925,442;933,2984
565;925,442;933,2984
566;925,442;933,2984
567;925,442;933,2984
568;925,442;933,2984
569;925,442;933,2984
570;925,442;933,2984
571;925,442;933,2984
572;925,442;933,2984
573;925,442;933,2984
574;925,442;933,2984
575;925,442;933,2984
576;925,442;933,2984
577;925,442;933,2984
578;925,442;933,2984
579;925,442;933,2984
580;925,442;933,2984
581;925,442;933,2984
582;925,442;933,2984
583;925,442;933,2984
584;925,442;933,2984
585;925,442;933,2984
586;925,442;933,2984
587;925,442;933,2984
588;925,442;933,2984
589;925,442;933,2984
590;925,442;933,2984
591;925,442;933,2984
592;925,442;933,2984
593;925,442;933,2984
594;925,442;933,2984
595;925,442;933,2984
596;925,442;933,2984
597;925,442;933,2984
598;925,442;933,2984
599;925,442;933,2984
600;925,442;933,2984
601;925,442;933,2984
602;925,442;933,2984
603;925,442;933,2984
604;925,442;933,2984
605;925,442;933,2984
606;925,442;933,2984
607;925,442;933,2984
608;925,442;933,2984
609;925,442;933,2984
610;925,442;933,2984
611;925,442;933,2984
612;925,442;933,2984
613;925,442;933,2984
614;925,442;933,2984
615;925,442;933,2984
616;925,442;933,2984
617;925,442;933,2984
618;925,442;933,2984
619;925,442;933,2984
620;925,442;933,2984
621;925,442;933,2984
622;925,442;933,2984
623;925,442;933,2984
624;925,442;933,2984
625;925,442;933,2984
626;925,442;933,2984
627;925,442;933,2984
628;925,442;933,2984
629;925,442;933,2984
630;925,442;933,2984
631;925,442;933,2984
632;925,442;933,2984
633;925,442;933,2984
634;925,442;933,2984
635;925,442;933,2984
636;925,442;933,2984
637;925,442;933,2984
638;925,442;933,2984
639;925,442;933,2984
640;925,442;933,2984
641;925,442;933,2984
642;925,442;933,2984
643;925,442;933,2984
644;925,442;933,2984
645;925,442;933,2984
646;925,442;933,2984
647;925,442;933,2984
648;925,442;933,2984
649;925,442;933,2984
650;925,442;933,2984
651;925,442;933,2984
652;925,442;933,2984
653;925,442;933,2984
654;925,442;933,2984
655;925,442;933,2984
656;925,442;933,2984
657;925,442;933,2984
658;925,442;933,2984
659;925,442;933,2984
660;925,442;933,2984
661;925,442;933,2984
662;925,442;933,2984
663;925,442;933,2984
664;925,442;933,2984
665;925,442;933,2984
666;925,442;933,2984
667;925,442;933,2984
668;925,442;933,2984
669;925,442;933,2984
670;925,442;933,2984
671;925,442;933,2984
