;pop_size;gen;px;pm;tour;;;;;;;;;pop_size;gen;;;;;;;;Best;Worst;Average
2;100;800;0.7;0.1;20;;;900,13934;;;;;;450;550;0.7;0.1;90;0;0;858,4659;0;825,1565;909,03015;871,549999
3;100;800;0.7;0.1;20;;;969,82874;;;;;;450;600;0.7;0.1;90;0;0;919,1173;0;815,43146;919,1173;863,661826
4;100;800;0.7;0.1;20;;;872,3082;;;;;;450;650;0.7;0.1;90;0;0;834,1144;0;819,6692;978,6427;896,285136
5;100;800;0.7;0.1;20;;;966,0282;;;;;;450;700;0.7;0.1;90;0;0;851,2653;0;828,6218;927,85205;869,094344
6;100;800;0.7;0.1;20;;;897,6914;;;;;;450;750;0.7;0.1;90;0;0;914,1364;0;817,22345;975,46027;879,478182
7;100;800;0.7;0.1;20;;;940,6748;;;;;;450;800;0.7;0.1;90;0;0;838,39886;0;824,54065;976,80884;873,705259
8;100;800;0.7;0.1;20;;;1031,5311;;Best;Worst;Average;;450;850;0.7;0.1;90;0;0;899,601;0;816,67694;941,04865;879,107042
9;100;800;0.7;0.1;20;;;887,9869;;867,3062;1031,5311;929,115598;;450;900;0.7;0.1;90;0;0;807,91223;0;807,91223;914,2391;856,294799
0;100;850;0.7;0.1;20;;;942,1639;;;;;;450;950;0.7;0.1;90;0;0;832,14044;0;832,14044;879,65875;853,00895
1;100;850;0.7;0.1;20;;;921,8686;;;;;;450;1000;0.7;0.1;90;0;0;855,12036;0;820,1531;1040,7081;892,009992
2;100;850;0.7;0.1;20;;;1039,4929;;;;;;500;100;0.7;0.1;100;0;0;928,46545;0;842,4324;992,2438;892,155716
3;100;850;0.7;0.1;20;;;961,12585;;;;;;500;150;0.7;0.1;100;0;0;1019,8627;0;820,60345;1033,025;903,540949
4;100;850;0.7;0.1;20;;;916,3678;;;;;;500;200;0.7;0.1;100;0;0;955,5767;0;825,96155;988,3631;902,780269
5;100;850;0.7;0.1;20;;;907,20215;;;;;;500;250;0.7;0.1;100;0;0;871,9951;0;853,78986;976,0326;889,545226
6;100;850;0.7;0.1;20;;;898,0071;;;;;;500;300;0.7;0.1;100;0;0;921,30695;0;834,89075;1013,18756;912,771088
7;100;850;0.7;0.1;20;;;881,8164;;;;;;500;350;0.7;0.1;100;0;0;909,12537;0;810,69403;942,30865;884,669383
8;100;850;0.7;0.1;20;;;907,0801;;Best;Worst;Average;;500;400;0.7;0.1;100;0;0;1010,3406;0;834,32513;1010,3406;904,058581
9;100;850;0.7;0.1;20;;;839,1036;;839,1036;1039,4929;921,42284;;500;450;0.7;0.1;100;0;0;870,8503;0;810,5735;946,3615;865,462346
0;100;900;0.7;0.1;20;;;839,2656;;;;;;500;500;0.7;0.1;100;0;0;851,27094;0;850,0181;989,38586;902,49355
1;100;900;0.7;0.1;20;;;893,93274;;;;;;500;550;0.7;0.1;100;0;0;906,10266;0;841,56525;959,21893;884,044121
2;100;900;0.7;0.1;20;;;1001,1114;;;;;;500;600;0.7;0.1;100;0;0;817,8442;0;803,311;955,06824;862,102011
3;100;900;0.7;0.1;20;;;890,68494;;;;;;500;650;0.7;0.1;100;0;0;869,1631;0;837,66315;934,63;873,611714
4;100;900;0.7;0.1;20;;;1014,3992;;;;;;500;700;0.7;0.1;100;0;0;987,51624;0;838,73425;987,51624;917,795101
5;100;900;0.7;0.1;20;;;840,20215;;;;;;500;750;0.7;0.1;100;0;0;924,2907;0;810,57355;945,9903;883,807415
6;100;900;0.7;0.1;20;;;817,03845;;;;;;500;800;0.7;0.1;100;0;0;909,4013;0;801,99445;974,7768;878,718473
7;100;900;0.7;0.1;20;;;853,9897;;;;;;500;850;0.7;0.1;100;0;0;864,8376;0;825,9008;947,1682;886,329164
8;100;900;0.7;0.1;20;;;860,02295;;Best;Worst;Average;;500;900;0.7;0.1;100;0;0;858,51965;0;799,64215;920,1889;875,476239
9;100;900;0.7;0.1;20;;;926,31305;;817,03845;1014,3992;893,696018;;500;950;0.7;0.1;100;0;0;835,5512;0;811,948;913,3205;854,033429
0;100;950;0.7;0.1;20;;;910,0611;;;;;;500;1000;0.7;0.1;100;0;0;873,189;0;817,591;966,44904;874,716504
1;100;950;0.7;0.1;20;;;968,6196;;;;;;550;100;0.7;0.1;110;0;0;966,69507;0;855,6322;1007,10034;925,558714
2;100;950;0.7;0.1;20;;;850,51245;;;;;;550;150;0.7;0.1;110;0;0;927,8672;0;835,6899;933,0816;886,249604
3;100;950;0.7;0.1;20;;;943,7799;;;;;;550;200;0.7;0.1;110;0;0;904,10944;0;816,71075;977,13837;902,565149
4;100;950;0.7;0.1;20;;;862,7878;;;;;;550;250;0.7;0.1;110;0;0;931,3025;0;810,6941;1082,418;890,633174
5;100;950;0.7;0.1;20;;;881,60614;;;;;;550;300;0.7;0.1;110;0;0;874,6237;0;828,70013;901,8083;862,571589
6;100;950;0.7;0.1;20;;;895,8575;;;;;;550;350;0.7;0.1;110;0;0;882,89026;0;833,11676;939,87915;878,55506
7;100;950;0.7;0.1;20;;;998,91724;;;;;;550;400;0.7;0.1;110;0;0;918,8491;0;838,4717;1020,205;887,570332
8;100;950;0.7;0.1;20;;;914,6996;;Best;Worst;Average;;550;450;0.7;0.1;110;0;0;929,4409;0;830,1231;948,11115;874,566467
9;100;950;0.7;0.1;20;;;911,1906;;850,51245;998,91724;913,803193;;550;500;0.7;0.1;110;0;0;849,19275;0;828,08075;961,34064;865,027375
