4; 450_950_0.71_0.14999999_139;1006,3201;;;;;;;;;;;;;;
5; 450_950_0.71_0.14999999_139;907,67633;;;;;;;;;;;;;;
6; 450_950_0.71_0.14999999_139;909,382;;;;;;;;;;;;;;
7; 450_950_0.71_0.14999999_139;867,87213;;;;;;;;;;;;;;
8; 450_950_0.71_0.14999999_139;906,177;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.14999999_139;835,6916;;810,5735;1006,3201;876,629025;55,96712617;;;;;;;;;
0; 450_950_0.71_0.16_139;843,8753;;;;;;;;;;;;;;
1; 450_950_0.71_0.16_139;820,5758;;;;;;;;;;;;;;
2; 450_950_0.71_0.16_139;864,25134;;;;;;;;;;;;;;
3; 450_950_0.71_0.16_139;852,912;;;;;;;;;;;;;;
4; 450_950_0.71_0.16_139;835,9716;;;;;;;;;;;;;;
5; 450_950_0.71_0.16_139;843,1624;;;;;;;;;;;;;;
6; 450_950_0.71_0.16_139;840,4809;;;;;;;;;;;;;;
7; 450_950_0.71_0.16_139;870,90985;;;;;;;;;;;;;;
8; 450_950_0.71_0.16_139;839,83136;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.16_139;861,05927;;820,5758;870,90985;847,302982;14,28015909;;;;;;;;;
0; 450_950_0.71_0.17_139;811,069;;;;;;;;;;;;;;
1; 450_950_0.71_0.17_139;876,99036;;;;;;;;;;;;;;
2; 450_950_0.71_0.17_139;868,21783;;;;;;;;;;;;;;
3; 450_950_0.71_0.17_139;921,3233;;;;;;;;;;;;;;
4; 450_950_0.71_0.17_139;854,11206;;;;;;;;;;;;;;
5; 450_950_0.71_0.17_139;864,29816;;;;;;;;;;;;;;
6; 450_950_0.71_0.17_139;899,5719;;;;;;;;;;;;;;
7; 450_950_0.71_0.17_139;848,83563;;;;;;;;;;;;;;
8; 450_950_0.71_0.17_139;918,2828;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.17_139;896,53564;;811,069;921,3233;875,923668;32,32772979;;;;;;;;;
0; 450_950_0.71_0.18_139;886,70233;;;;;;;;;;;;;;
1; 450_950_0.71_0.18_139;837,23114;;;;;;;;;;;;;;
2; 450_950_0.71_0.18_139;841,9431;;;;;;;;;;;;;;
3; 450_950_0.71_0.18_139;916,1053;;;;;;;;;;;;;;
4; 450_950_0.71_0.18_139;948,139;;;;;;;;;;;;;;
5; 450_950_0.71_0.18_139;870,77155;;;;;;;;;;;;;;
6; 450_950_0.71_0.18_139;892,8719;;;;;;;;;;;;;;
7; 450_950_0.71_0.18_139;836,54333;;;;;;;;;;;;;;
8; 450_950_0.71_0.18_139;912,0884;;Best;Worst;Avg;Std;;;;;;;;;
